| tablo                      | sutun                   |
| products                   | stock_quantity          |
| products                   | category_id             |
| products                   | is_featured             |
| products                   | is_active               |
| products                   | primary_image_url       |
| products                   | created_at              |
| products                   | updated_at              |
| products                   | weight_grams            |
| products                   | dimensions              |
| products                   | metadata                |
| products                   | sold_count              |
| products                   | seller_id               |
| products                   | commission_rate         |
| products                   | tags                    |
| products                   | is_flash_deal           |
| products                   | flash_deal_price        |
| products                   | flash_deal_start_date   |
| products                   | flash_deal_end_date     |
| products                   | flash_deal_stock        |
| profiles                   | id                      |
| profiles                   | first_name              |
| profiles                   | last_name               |
| profiles                   | phone                   |
| profiles                   | email                   |
| profiles                   | created_at              |
| profiles                   | updated_at              |
| profiles                   | is_admin                |
| profiles                   | user_id                 |
| profiles                   | is_email_verified       |
| recently_viewed_products   | id                      |
| recently_viewed_products   | user_id                 |
| recently_viewed_products   | product_id              |
| recently_viewed_products   | viewed_at               |
| seller_product_submissions | id                      |
| seller_product_submissions | seller_id               |
| seller_product_submissions | name                    |
| seller_product_submissions | description             |
| seller_product_submissions | category_id             |
| seller_product_submissions | base_price              |
| seller_product_submissions | sale_price              |
| seller_product_submissions | sku                     |
| seller_product_submissions | stock_quantity          |
| seller_product_submissions | images                  |
| seller_product_submissions | specifications          |
| seller_product_submissions | status                  |
| seller_product_submissions | admin_notes             |
| seller_product_submissions | created_at              |
| seller_product_submissions | updated_at              |
| seller_product_submissions | reviewed_at             |
| seller_product_submissions | reviewed_by             |
| seller_products            | id                      |
| seller_products            | name                    |
| seller_products            | description             |
| seller_products            | category_id             |
| seller_products            | base_price              |
| seller_products            | sale_price              |
| seller_products            | sku                     |
| seller_products            | stock_quantity          |
| seller_products            | images                  |
| seller_products            | specifications          |
| seller_products            | status                  |
| seller_products            | admin_notes             |
| seller_products            | created_at              |
| seller_products            | updated_at              |
| seller_products            | reviewed_at             |
| seller_products            | reviewed_by             |
| seller_products            | seller_id               |
| seller_products            | seller_name             |
| seller_products            | seller_email            |
| seller_products            | category_name           |
| seller_profiles            | id                      |
| seller_profiles            | user_id                 |
| seller_profiles            | store_name              |
| seller_profiles            | description             |
| seller_profiles            | logo_url                |
| seller_profiles            | banner_url              |
| seller_profiles            | contact_email           |
| seller_profiles            | contact_phone           |
| seller_profiles            | address                 |
| seller_profiles            | social_media            |
| seller_profiles            | is_approved             |
| seller_profiles            | approval_status         |
| seller_profiles            | created_at              |
| seller_profiles            | updated_at              |
| sellers                    | id                      |
| sellers                    | user_id                 |
| sellers                    | company_name            |
| sellers                    | contact_name            |
| sellers                    | contact_email           |
| sellers                    | contact_phone           |
| sellers                    | tax_id                  |
| sellers                    | is_approved             |
| sellers                    | created_at              |
| sellers                    | updated_at              |
| settings                   | id                      |
| settings                   | value                   |
| settings                   | created_at              |
| settings                   | updated_at              |
| special_collections        | id                      |
| special_collections        | title                   |
| special_collections        | description             |
| special_collections        | slug                    |
| special_collections        | image_url               |
| special_collections        | badge                   |
| special_collections        | badge_color             |
| special_collections        | icon_name               |
| special_collections        | is_active               |
| special_collections        | sort_order              |
| special_collections        | created_at              |
| special_collections        | updated_at              |
| tax_payments               | id                      |
| tax_payments               | month                   |
| tax_payments               | year                    |
| tax_payments               | payment_date            |
| tax_payments               | amount                  |
| tax_payments               | created_at              |
| tax_payments               | updated_at              |
| user_cart                  | id                      |
| user_cart                  | user_id                 |
| user_cart                  | cart_items              |
| user_cart                  | recently_removed_items  |
| user_cart                  | created_at              |
| user_cart                  | updated_at              |
| user_favorites             | id                      |
| user_favorites             | user_id                 |
| user_favorites             | product_id              |
| user_favorites             | created_at              |
| verification_tokens        | id                      |
| verification_tokens        | user_id                 |
| verification_tokens        | email                   |
| verification_tokens        | token                   |
| verification_tokens        | created_at              |
| verification_tokens        | expires_at              |
